Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/19,81148,53018,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Delafield,9612,386100,0.004945341,0.023323615,0.05607221,0.044142944,0.012232017,2019-02,2019-Q1,386100,0,2019-02
2/28/19,81147,53017,WI,Milwaukee-Waukesha-West Allis,Washington County,Richfield,11216,325500,-0.001533742,-0.003062787,0.073903002,0.057260624,0.021899995,2018-11,2018-Q4,326500,-0.003062787,2018-11
2/28/19,81145,53015,WI,Manitowoc,Manitowoc County,Cleveland,13717,146100,-0.010162602,-0.05620155,-0.031167109,,,2014-11,2014-Q4,211700,-0.309872461,
2/28/19,81144,53014,WI,Appleton,Calumet County,Chilton,9326,143900,0.002089136,0.00418702,0.016242938,0.036820457,0.013613886,2019-02,2019-Q1,143900,0,2019-02
2/28/19,81142,53012,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Cedarburg,5962,305500,0.004603749,0.015287471,0.066317627,0.051734451,0.021359681,2019-02,2019-Q1,305500,0,2019-02
2/28/19,81140,53010,WI,Fond du Lac,Fond du Lac County,Campbellsport,9714,206700,-0.000483559,0.031437126,0.185886403,0.043827865,0.01801587,2019-01,2019-Q1,206800,-0.000483559,2019-01
2/28/19,81138,53007,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Butler,13933,166000,-0.006582885,-0.012492564,-0.084895259,0.013023917,-0.002378232,2018-03,2018-Q1,181600,-0.085903084,2016-09
2/28/19,81137,53006,WI,Beaver Dam,Dodge County,Brownsville,14945,185000,-0.004841313,0.005434783,0.063829787,0.047772078,0.019640747,2019-01,2019-Q1,185900,-0.004841313,2018-12
2/28/19,81136,53005,WI,Milwaukee-Waukesha-West Allis,Waukesha County,Brookfield,5679,304200,0.008286377,0.030138842,0.069244288,0.04211777,0.021337975,2019-02,2019-Q1,304200,0,2019-02
2/28/19,81135,53004,WI,Milwaukee-Waukesha-West Allis,Ozaukee County,Belgium,12836,217000,0.002772643,0.006960557,0.070547607,0.044439045,0.015316356,2019-02,2019-Q1,217000,0,2019-02
2/28/19,81133,53002,WI,Milwaukee-Waukesha-West Allis,Washington County,Addison,14214,219200,0.005966039,0.008279669,0.054860443,0.040771088,0.014398725,2019-02,2019-Q1,219200,0,2019-02
2/28/19,81129,52807,IA,Davenport-Moline-Rock Island,Scott County,Davenport,6181,244000,-0.00204499,-0.00974026,0.00370218,0.021016874,0.021264688,2018-11,2018-Q4,246400,-0.00974026,2018-06
2/28/19,81128,52806,IA,Davenport-Moline-Rock Island,Scott County,Davenport,3479,146000,0.000685401,0.006202619,0.002059025,0.025226888,0.015569278,2017-12,2017-Q4,146500,-0.003412969,2017-12
2/28/19,81126,52804,IA,Davenport-Moline-Rock Island,Scott County,Davenport,3886,119100,-0.000838926,0.004215852,0.025839793,0.021658133,0.013844713,2019-01,2019-Q1,119200,-0.000838926,2019-01
2/28/19,81125,52803,IA,Davenport-Moline-Rock Island,Scott County,Davenport,4842,123500,0.00162206,0.004882018,0.043956044,0.035965569,0.021433617,2019-02,2019-Q1,123500,0,2019-02
